task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,19,0,19,0,None,,,left,0.286514997482,1.34627450458,3,122.526441097,1,20,15,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,19,0,19,0,None,,,right,2.50793385506,1.34627450458,3,122.526441097,1,20,15,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,19,0,19,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.2865149974822998, 2.5079338550567627]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,20,0,20,0,None,,,left,0.486611843109,1.20903530478,3,129.335386038,1,21,16,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,20,0,20,0,None,,,right,2.44087100029,1.20903530478,3,129.335386038,1,21,16,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,20,0,20,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.48661184310913086, 2.440871000289917]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,21,0,21,0,None,,,left,0.786498069763,0.817047912498,2,136.004181147,1,22,17,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,21,0,21,0,None,,,,,,,,,,,,,,,,,['left'],[0.7864980697631836],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,22,0,22,0,None,,,left,1.53790020943,0.684181130922,3,141.305543184,1,23,18,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,22,0,22,0,None,,,right,2.94027805328,0.684181130922,3,141.305543184,1,23,18,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,22,0,22,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[1.5379002094268799, 2.9402780532836914]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,23,0,23,0,None,,,left,0.701694011688,1.12384083849,2,147.476828098,1,24,19,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,23,0,23,0,None,,,,,,,,,,,,,,,,,['left'],[0.7016940116882324],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,24,0,24,0,None,,,left,0.80439209938,0.534809616677,3,153.012215137,1,25,19,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,24,0,24,0,None,,,,,,,,,,,,,,,,,['left'],[0.8043920993804932],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,25,0,25,0,None,,,left,0.753544092178,0.721274209893,3,158.971181154,1,26,20,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,25,0,25,0,None,,,right,1.60323596001,0.721274209893,3,158.971181154,1,26,20,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,25,0,25,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.7535440921783447, 1.6032359600067139]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,26,0,26,0,None,,,left,0.435474872589,1.04810863721,3,165.167948008,1,27,21,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,26,0,26,0,None,,,right,2.33951807022,1.04810863721,3,165.167948008,1,27,21,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,26,0,26,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.43547487258911133, 2.3395180702209473]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,27,0,27,0,None,,,left,0.350893974304,1.11063030998,3,171.676892042,1,28,22,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,27,0,27,0,None,,,right,2.48872494698,1.11063030998,3,171.676892042,1,28,22,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,27,0,27,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3508939743041992, 2.488724946975708]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,28,0,28,0,None,,,left,0.852075099945,0.890933626923,3,178.23000598,1,29,23,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,28,0,28,0,None,,,right,2.67394208908,0.890933626923,3,178.23000598,1,29,23,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,28,0,28,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.8520750999450684, 2.6739420890808105]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,29,0,29,0,None,,,left,0.418556928635,0.645501727435,3,184.667083979,1,30,23,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,29,0,29,0,None,,,,,,,,,,,,,,,,,['left'],[0.41855692863464355],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,30,0,30,0,None,,,left,0.469926118851,1.48694228552,2,190.763357162,1,31,24,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,30,0,30,0,None,,,,,,,,,,,,,,,,,['left'],[0.469926118850708],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,31,0,31,0,None,,,left,0.968837976456,0.947893465605,3,196.698922157,1,32,24,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,31,0,31,0,None,,,,,,,,,,,,,,,,,['left'],[0.9688379764556885],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,32,0,32,0,None,,,left,0.300728082657,0.657105809463,2,203.091118097,1,33,25,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,32,0,32,0,None,,,,,,,,,,,,,,,,,['left'],[0.30072808265686035],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,33,0,33,0,None,,,left,0.97098493576,0.532828851542,3,208.243332148,1,34,25,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
